ID,Company ID,User ID,Action,Entity,Resource Type,Resource ID,Description,IP Address,Browser,User Agent,Status,Before Values,After Values,Created At
240,3,3,User Login,,,,,,,,,,,2026-08-24T10:20:18.199955+05:30
239,3,3,User Login,,,,,,,,,,,2026-08-20T12:38:39.107335+05:30
238,3,3,User Login,,,,,,,,,,,2026-08-20T12:36:05.173217+05:30
237,3,3,User Login,,,,,,,,,,,2026-08-20T12:29:19.422251+05:30
236,3,3,User Login,,,,,,,,,,,2026-08-20T12:22:22.060727+05:30
235,3,3,User Login,,,,,,,,,,,2026-08-20T12:13:22.909307+05:30
234,3,3,User Login,,,,,,,,,,,2026-08-20T12:05:46.834978+05:30
233,3,3,User Login,,,,,,,,,,,2026-08-20T12:04:32.921600+05:30
232,3,3,User Login,,,,,,,,,,,2026-08-17T12:12:01.428136+05:30
231,3,3,User Login,,,,,,,,,,,2026-08-14T10:08:13.289955+05:30
230,3,3,User Login,,,,,,,,,,,2026-08-13T16:23:42.129566+05:30
229,3,3,User Login,,,,,,,,,,,2026-08-13T15:02:26.376791+05:30
228,3,3,User Login,,,,,,,,,,,2026-08-13T14:42:27.311839+05:30
227,3,3,User Login,,,,,,,,,,,2026-08-13T14:37:05.577434+05:30
226,3,3,User Login,,,,,,,,,,,2026-08-13T14:29:28.852255+05:30
225,3,3,User Login,,,,,,,,,,,2026-08-13T12:02:39.654296+05:30
224,3,3,User Login,,,,,,,,,,,2026-08-12T11:56:49.004796+05:30
223,3,3,User Login,,,,,,,,,,,2026-08-12T11:53:16.423322+05:30
222,3,3,User Login,,,,,,,,,,,2026-08-12T11:43:38.345577+05:30
221,3,3,Forecast Category CSV Exported,,,,,,,,,,,2026-08-11T16:04:16.467952+05:30
220,3,3,Forecast Generated,,,,,,,,,,,2026-08-11T16:03:56.538448+05:30
219,3,3,User Login,,,,,,,,,,,2026-08-11T11:04:22.145335+05:30
218,3,3,Forecast Exported,,,,,,,,,,,2026-08-11T09:31:09.143100+05:30
217,3,3,User Login,,,,,,,,,,,2026-08-11T09:29:30.237195+05:30
216,3,3,User Login,,,,,,,,,,,2026-08-10T14:19:54.685491+05:30
215,3,3,User Login,,,,,,,,,,,2026-08-10T11:42:36.294351+05:30
214,3,3,User Login,,,,,,,,,,,2026-08-10T10:32:35.652038+05:30
213,3,3,User Login,,,,,,,,,,,2026-08-07T14:22:01.746319+05:30
212,3,3,Sale Updated - INV-2026-000003,Sale,,,,,,,,,,2026-08-07T14:15:48.350825+05:30
211,3,3,Sale Created - INV-20260807-0001,Sale,,,,,,,,,,2026-08-07T12:47:02.148801+05:30
210,3,3,User Login,,,,,,,,,,,2026-08-07T12:43:38.333863+05:30
209,3,3,User Login,,,,,,,,,,,2026-08-06T17:17:33.483972+05:30
208,3,3,Sale Created - INV-20260806-0002,Sale,,,,,,,,,,2026-08-06T17:11:58.116715+05:30
207,3,3,User Login,,,,,,,,,,,2026-08-06T17:11:19.620913+05:30
206,3,3,User Login,,,,,,,,,,,2026-08-06T17:02:10.873523+05:30
205,3,3,Sale Created - INV-20260806-0001,Sale,,,,,,,,,,2026-08-06T16:54:43.434169+05:30
204,3,3,User Login,,,,,,,,,,,2026-08-06T16:54:01.022943+05:30
203,3,3,User Login,,,,,,,,,,,2026-08-06T16:03:57.532468+05:30
202,3,3,CUSTOMER_ACTIVATED,Customer: CUS-2026-000003,,,,,,,,,,2026-08-06T11:55:32.282624+05:30
201,3,3,User Login,,,,,,,,,,,2026-08-06T11:29:12.354320+05:30
200,3,3,CUSTOMER_DEACTIVATED,Customer: CUS-2026-000003,,,,,,,,,,2026-08-06T10:30:28.923907+05:30
199,3,3,CUSTOMER_ACTIVATED,Customer: CUS-2026-000003,,,,,,,,,,2026-08-06T10:30:17.994894+05:30
198,3,3,CUSTOMER_UPDATED,Customer: CUS-2026-000003,,,,,,,,,,2026-08-06T10:30:06.805407+05:30
197,3,3,CUSTOMER_CREATED,Customer: CUS-2026-000003,,,,,,,,,,2026-08-06T10:27:30.148934+05:30
196,3,3,User Login,,,,,,,,,,,2026-08-06T10:26:38.754255+05:30
194,3,3,User Login,,,,,,,,,,,2026-08-06T10:20:51.219057+05:30
191,3,3,User Login,,,,,,,,,,,2026-08-06T10:15:34.961241+05:30
188,3,3,User Login,,,,,,,,,,,2026-08-05T20:31:36.755460+05:30
187,3,3,User Login,,,,,,,,,,,2026-08-05T20:24:52.988062+05:30
186,3,3,User Login,,,,,,,,,,,2026-08-05T20:21:48.255611+05:30
185,3,3,User Login,,,,,,,,,,,2026-08-05T20:12:42.962643+05:30
184,3,3,User Login,,,,,,,,,,,2026-08-05T20:09:31.578231+05:30
183,3,3,User Login,,,,,,,,,,,2026-08-05T19:52:09.959763+05:30
182,3,3,User Login,,,,,,,,,,,2026-08-05T10:43:55.544459+05:30
177,3,3,Forecast Generated,,,,,,,,,,,2026-08-04T18:52:52.992726+05:30
176,3,3,Forecast Exported,,,,,,,,,,,2026-08-04T18:52:42.440900+05:30
175,3,3,Forecast Exported,,,,,,,,,,,2026-08-04T18:52:40.728995+05:30
174,3,3,User Login,,,,,,,,,,,2026-08-04T18:46:43.324972+05:30
173,3,3,User Login,,,,,,,,,,,2026-08-04T18:45:27.268168+05:30
172,3,3,User Login,,,,,,,,,,,2026-08-04T18:34:11.444764+05:30
171,3,3,User Login,,,,,,,,,,,2026-08-04T18:27:50.099606+05:30
170,3,3,User Login,,,,,,,,,,,2026-08-04T17:19:39.141965+05:30
169,3,3,Forecast Exported,,,,,,,,,,,2026-08-04T16:12:33.094622+05:30
168,3,3,Forecast Generated,,,,,,,,,,,2026-08-04T15:52:06.933003+05:30
167,3,3,Forecast Generated,,,,,,,,,,,2026-08-04T15:52:04.041441+05:30
166,3,3,User Login,,,,,,,,,,,2026-08-04T15:17:59.281806+05:30
165,3,3,Forecast Exported,,,,,,,,,,,2026-08-04T14:54:32.141895+05:30
164,3,3,Forecast Exported,,,,,,,,,,,2026-08-04T14:54:24.120263+05:30
163,3,3,Forecast Generated,,,,,,,,,,,2026-08-04T14:54:17.199202+05:30
162,3,3,Forecast Generated,,,,,,,,,,,2026-08-04T12:57:44.348991+05:30
161,3,3,User Login,,,,,,,,,,,2026-08-04T10:43:16.265245+05:30
160,3,3,User Login,,,,,,,,,,,2026-08-04T10:39:42.561914+05:30
159,3,3,Forecast Exported,,,,,,,,,,,2026-08-04T10:33:03.133486+05:30
158,3,3,Forecast Exported,,,,,,,,,,,2026-08-04T10:32:52.075262+05:30
157,3,3,Forecast Generated,,,,,,,,,,,2026-08-04T10:31:45.153084+05:30
156,3,3,User Login,,,,,,,,,,,2026-08-04T10:30:48.961202+05:30
155,3,3,User Login,,,,,,,,,,,2026-08-03T17:30:06.252266+05:30
154,3,3,User Login,,,,,,,,,,,2026-08-03T17:17:43.221086+05:30
153,3,3,User Login,,,,,,,,,,,2026-08-03T17:01:37.610473+05:30
152,3,3,User Login,,,,,,,,,,,2026-08-03T16:53:31.169310+05:30
151,3,3,User Login,,,,,,,,,,,2026-08-03T16:47:54.728958+05:30
150,3,3,User Login,,,,,,,,,,,2026-08-03T16:27:53.617180+05:30
149,3,3,User Login,,,,,,,,,,,2026-08-03T16:25:13.745145+05:30
148,3,3,User Login,,,,,,,,,,,2026-08-03T16:06:43.939306+05:30
147,3,3,CUSTOMER_CSV_EXPORTED,Customers,,,,,,,,,,2026-07-31T22:59:37.769065+05:30
146,3,3,CUSTOMER_CSV_EXPORTED,Customers,,,,,,,,,,2026-07-31T22:59:37.545592+05:30
145,3,3,CUSTOMER_CSV_EXPORTED,Customers,,,,,,,,,,2026-07-31T22:59:35.839861+05:30
144,3,3,User Login,,,,,,,,,,,2026-07-31T22:49:15.246730+05:30
143,3,3,CUSTOMER_CSV_EXPORTED,Customers,,,,,,,,,,2026-07-31T17:54:16.203470+05:30
142,3,3,CUSTOMER_CSV_EXPORTED,Customers,,,,,,,,,,2026-07-31T17:53:45.772645+05:30
141,3,3,User Login,,,,,,,,,,,2026-07-31T16:55:54.280965+05:30
140,3,3,CUSTOMER_CSV_EXPORTED,Customers,,,,,,,,,,2026-07-31T16:44:20.469011+05:30
139,3,3,User Login,,,,,,,,,,,2026-07-31T16:31:43.317388+05:30
138,3,3,User Login,,,,,,,,,,,2026-07-31T14:38:45.646888+05:30
137,3,3,User Login,,,,,,,,,,,2026-07-31T14:35:18.592814+05:30
136,3,3,User Login,,,,,,,,,,,2026-07-31T14:18:04.421833+05:30
135,3,3,User Login,,,,,,,,,,,2026-07-31T13:35:55.515184+05:30
134,3,3,User Login,,,,,,,,,,,2026-07-31T13:24:47.703498+05:30
133,3,3,User Login,,,,,,,,,,,2026-07-31T13:19:16.989803+05:30
132,3,3,User Login,,,,,,,,,,,2026-07-31T12:56:32.589946+05:30
131,3,3,User Login,,,,,,,,,,,2026-07-31T12:44:24.138141+05:30
130,3,3,User Login,,,,,,,,,,,2026-07-31T12:41:09.451072+05:30
129,3,3,User Login,,,,,,,,,,,2026-07-31T11:50:52.626234+05:30
128,3,3,User Login,,,,,,,,,,,2026-07-31T11:03:59.776752+05:30
127,3,3,CUSTOMER_CSV_EXPORTED,Customers,,,,,,,,,,2026-07-31T11:02:03.058829+05:30
126,3,3,TOP_CUSTOMERS_EXPORTED,Top Customers,,,,,,,,,,2026-07-31T10:49:46.417854+05:30
125,3,3,CUSTOMER_CSV_EXPORTED,Customers,,,,,,,,,,2026-07-31T10:49:30.293794+05:30
124,3,3,User Login,,,,,,,,,,,2026-07-31T10:49:00.431381+05:30
123,3,3,CUSTOMER_CSV_EXPORTED,Customers,,,,,,,,,,2026-07-31T10:47:48.731478+05:30
122,3,3,CUSTOMER_CSV_EXPORTED,Customers,,,,,,,,,,2026-07-31T10:46:22.455359+05:30
121,3,3,User Login,,,,,,,,,,,2026-07-31T10:45:51.335228+05:30
120,3,3,CUSTOMER_CSV_EXPORTED,Customers,,,,,,,,,,2026-07-31T10:43:18.576538+05:30
119,3,3,CUSTOMER_CSV_EXPORTED,Customers,,,,,,,,,,2026-07-31T10:43:18.351123+05:30
118,3,3,CUSTOMER_CSV_EXPORTED,Customers,,,,,,,,,,2026-07-31T10:43:18.096083+05:30
117,3,3,CUSTOMER_CSV_EXPORTED,Customers,,,,,,,,,,2026-07-31T10:43:17.492392+05:30
116,3,3,CUSTOMER_CSV_EXPORTED,Customers,,,,,,,,,,2026-07-30T21:28:18.196775+05:30
115,3,3,CUSTOMER_CSV_EXPORTED,Customers,,,,,,,,,,2026-07-30T21:28:17.956712+05:30
114,3,3,CUSTOMER_CSV_EXPORTED,Customers,,,,,,,,,,2026-07-30T21:28:17.741589+05:30
113,3,3,CUSTOMER_CSV_EXPORTED,Customers,,,,,,,,,,2026-07-30T21:28:17.001325+05:30
112,3,3,CUSTOMER_CSV_EXPORTED,Customers,,,,,,,,,,2026-07-30T21:27:47.885264+05:30
111,3,3,CUSTOMER_CSV_EXPORTED,Customers,,,,,,,,,,2026-07-30T21:27:46.306669+05:30
110,3,3,CUSTOMER_CSV_EXPORTED,Customers,,,,,,,,,,2026-07-30T21:27:38.771200+05:30
109,3,3,User Login,,,,,,,,,,,2026-07-30T21:26:05.459851+05:30
108,3,3,User Login,,,,,,,,,,,2026-07-30T20:36:27.722716+05:30
107,3,3,CUSTOMER_CREATED,Customer : CUS-2026-000002,,,,,,,,,,2026-07-30T16:53:20.471489+05:30
106,3,3,CUSTOMER_CREATED,Customer : CUS-2026-000001,,,,,,,,,,2026-07-30T15:21:29.787112+05:30
105,3,3,User Login,,,,,,,,,,,2026-07-30T15:20:35.790817+05:30
104,3,3,User Login,,,,,,,,,,,2026-07-30T15:13:21.886279+05:30
102,3,3,User Login,,,,,,,,,,,2026-07-30T14:51:43.013263+05:30
101,3,3,User Login,,,,,,,,,,,2026-07-29T17:26:02.219949+05:30
100,3,3,User Login,,,,,,,,,,,2026-07-29T17:21:02.106871+05:30
99,3,3,User Login,,,,,,,,,,,2026-07-29T17:18:37.976168+05:30
98,3,3,User Login,,,,,,,,,,,2026-07-29T17:15:39.346509+05:30
97,3,3,User Login,,,,,,,,,,,2026-07-29T17:09:43.983059+05:30
96,3,3,User Login,,,,,,,,,,,2026-07-29T14:22:10.471551+05:30
95,3,3,User Login,,,,,,,,,,,2026-07-28T17:05:51.626659+05:30
94,3,3,User Login,,,,,,,,,,,2026-07-28T16:46:09.955143+05:30
93,3,3,User Login,,,,,,,,,,,2026-07-28T13:59:25.403394+05:30
89,3,3,User Login,,,,,,,,,,,2026-07-28T12:58:20.781608+05:30
88,3,3,User Login,,,,,,,,,,,2026-07-27T19:53:48.552208+05:30
87,3,3,User Login,,,,,,,,,,,2026-07-27T17:15:51.445424+05:30
86,3,3,User Login,,,,,,,,,,,2026-07-27T16:14:33.864963+05:30
85,3,3,User Login,,,,,,,,,,,2026-07-27T16:07:43.686229+05:30
84,3,3,User Login,,,,,,,,,,,2026-07-27T15:56:12.304200+05:30
83,3,3,User Login,,,,,,,,,,,2026-07-27T14:52:09.488763+05:30
82,3,3,User Login,,,,,,,,,,,2026-07-27T14:03:42.567189+05:30
81,3,3,User Login,,,,,,,,,,,2026-07-27T13:48:42.582109+05:30
80,3,3,User Login,,,,,,,,,,,2026-07-27T13:40:01.668277+05:30
79,3,3,User Login,,,,,,,,,,,2026-07-27T13:31:07.047387+05:30
78,3,3,User Login,,,,,,,,,,,2026-07-27T13:24:57.585693+05:30
77,3,3,User Login,,,,,,,,,,,2026-07-27T11:05:42.733382+05:30
76,3,3,Product Created,,,,,,,,,,,2026-07-24T15:58:57.783522+05:30
75,3,3,Product Created,,,,,,,,,,,2026-07-24T15:58:25.983365+05:30
74,3,3,Product Deleted,,,,,,,,,,,2026-07-24T15:52:43.007849+05:30
73,3,3,Product Created,,,,,,,,,,,2026-07-24T15:51:12.145300+05:30
72,3,3,User Login,,,,,,,,,,,2026-07-24T15:50:11.015143+05:30
71,3,3,Product Deleted,,,,,,,,,,,2026-07-24T15:36:49.182824+05:30
70,3,3,Product Created,,,,,,,,,,,2026-07-24T15:35:30.380184+05:30
69,3,3,User Login,,,,,,,,,,,2026-07-24T15:33:19.995916+05:30
68,3,3,Product Deleted,,,,,,,,,,,2026-07-24T15:28:49.261991+05:30
67,3,3,Product Deleted,,,,,,,,,,,2026-07-24T15:27:54.661545+05:30
66,3,3,User Login,,,,,,,,,,,2026-07-24T15:26:48.096355+05:30
65,3,3,User Login,,,,,,,,,,,2026-07-24T15:07:01.762944+05:30
64,3,3,Reorder Level Updated,,,,,,,,,,,2026-07-24T13:22:07.058912+05:30
63,3,3,User Login,,,,,,,,,,,2026-07-24T11:55:10.454815+05:30
62,3,3,Stock Added,,,,,,,,,,,2026-07-24T11:19:25.752670+05:30
61,3,3,Reorder Level Updated,,,,,,,,,,,2026-07-23T14:51:26.922489+05:30
60,3,3,Stock Adjusted,,,,,,,,,,,2026-07-23T14:49:16.997565+05:30
59,3,3,Stock Removed,,,,,,,,,,,2026-07-23T14:49:00.451389+05:30
58,3,3,Stock Added,,,,,,,,,,,2026-07-23T14:48:28.033826+05:30
57,3,3,User Login,,,,,,,,,,,2026-07-23T14:45:20.929482+05:30
56,3,3,User Login,,,,,,,,,,,2026-07-23T14:41:05.231439+05:30
55,3,3,User Login,,,,,,,,,,,2026-07-23T14:26:02.944958+05:30
54,3,3,User Login,,,,,,,,,,,2026-07-23T14:19:28.315785+05:30
53,3,3,User Login,,,,,,,,,,,2026-07-23T14:08:05.259553+05:30
52,3,3,Sale Created - INV-2026-000003,,,,,,,,,,,2026-07-21T17:00:37.314534+05:30
51,3,3,Inventory Updated - Office Chair,,,,,,,,,,,2026-07-21T17:00:37.237119+05:30
50,3,3,User Login,,,,,,,,,,,2026-07-21T16:59:40.403136+05:30
49,3,3,Sale Updated - INV-2026-000002,,,,,,,,,,,2026-07-21T12:32:51.896658+05:30
48,3,3,Sale Created - INV-2026-000002,,,,,,,,,,,2026-07-21T12:31:51.377527+05:30
47,3,3,Inventory Updated - Office Chair,,,,,,,,,,,2026-07-21T12:31:51.281624+05:30
46,3,3,User Login,,,,,,,,,,,2026-07-21T12:31:00.724967+05:30
45,3,3,Sale Updated - INV-2026-000001,,,,,,,,,,,2026-07-21T12:10:30.615993+05:30
44,3,3,Sale Created - INV-2026-000001,,,,,,,,,,,2026-07-21T12:09:26.839598+05:30
43,3,3,Inventory Updated - Office Chair,,,,,,,,,,,2026-07-21T12:09:26.764679+05:30
42,3,3,User Login,,,,,,,,,,,2026-07-21T12:08:42.499110+05:30
41,3,3,Product Activated,,,,,,,,,,,2026-07-20T13:41:23.352686+05:30
40,3,3,Product Deactivated,,,,,,,,,,,2026-07-20T13:41:21.388197+05:30
39,3,3,User Login,,,,,,,,,,,2026-07-20T12:55:39.475158+05:30
38,3,3,User Login,,,,,,,,,,,2026-07-20T12:52:41.009665+05:30
37,3,3,User Login,,,,,,,,,,,2026-07-20T12:01:56.844412+05:30
36,3,3,User Login,,,,,,,,,,,2026-07-20T11:51:40.823111+05:30
35,3,3,User Login,,,,,,,,,,,2026-07-20T11:25:55.651912+05:30
34,3,3,User Login,,,,,,,,,,,2026-07-20T09:59:49.141101+05:30
33,3,3,User Login,,,,,,,,,,,2026-07-20T09:47:40.632847+05:30
32,3,3,User Login,,,,,,,,,,,2026-07-18T17:43:21.858552+05:30
31,3,3,User Login,,,,,,,,,,,2026-07-18T17:02:50.759188+05:30
30,3,3,Product Deactivated,,,,,,,,,,,2026-07-18T16:42:30.693458+05:30
29,3,3,Product Activated,,,,,,,,,,,2026-07-18T16:42:22.512702+05:30
28,3,3,Product Created,,,,,,,,,,,2026-07-18T16:40:33.580728+05:30
27,3,3,Category 'Gaming Accessories' updated.,,,,,,,,,,,2026-07-18T16:34:13.645422+05:30
26,3,3,Category 'Gaming Accessories' created.,,,,,,,,,,,2026-07-18T16:31:03.170292+05:30
25,3,3,Product Deactivated,,,,,,,,,,,2026-07-18T16:29:10.163901+05:30
24,3,3,Product Activated,,,,,,,,,,,2026-07-18T16:25:02.222936+05:30
23,3,3,Product Updated,,,,,,,,,,,2026-07-18T16:24:36.884718+05:30
22,3,3,Product Created,,,,,,,,,,,2026-07-18T16:15:39.476141+05:30
21,3,3,User Login,,,,,,,,,,,2026-07-18T16:14:34.739000+05:30
20,3,3,User Login,,,,,,,,,,,2026-07-18T15:40:31.262684+05:30
19,3,3,Category 'Furniture' updated.,,,,,,,,,,,2026-07-17T21:06:30.955944+05:30
18,3,3,Category 'Furniture' created.,,,,,,,,,,,2026-07-17T21:04:43.997633+05:30
17,3,3,User Login,,,,,,,,,,,2026-07-17T21:02:56.278785+05:30
16,3,3,User Login,,,,,,,,,,,2026-07-17T20:51:28.434850+05:30
15,3,3,User Login,,,,,,,,,,,2026-07-17T20:47:55.310112+05:30
14,3,3,User Login,,,,,,,,,,,2026-07-17T20:42:43.934732+05:30
13,3,3,User Login,,,,,,,,,,,2026-07-16T13:03:25.578000+05:30
12,3,3,User Login,,,,,,,,,,,2026-07-16T12:30:25.695304+05:30
11,3,3,User Login,,,,,,,,,,,2026-07-15T15:17:44.308011+05:30
10,3,3,User Login,,,,,,,,,,,2026-07-15T14:05:51.571441+05:30
9,3,3,User Login,,,,,,,,,,,2026-07-15T13:16:31.960850+05:30
8,3,3,User Login,,,,,,,,,,,2026-07-15T11:18:41.911260+05:30
7,3,3,User Login,,,,,,,,,,,2026-07-15T11:04:23.927404+05:30
6,3,3,User Login,,,,,,,,,,,2026-07-15T10:51:21.655016+05:30
5,3,3,Company Registered,,,,,,,,,,,2026-07-15T10:44:15.487342+05:30
